N ke bvol eBvol eProb xl yl zl xh yh zh sxxProb syyProb szzProb sxyProb sxzProb syzProb sxzTopWall syzTopWall szzTopWall sxyBotWall sxzBotWall syzBotWall
200000 6.74295082034607e-09 1.5289043519127e-06 22.7740127359538 23.1103962432196 -0.000221152000001317 -0.000221152000001317 -0.000218000033939521 0.0113011520000799 0.0113011520000799 0.0112980000200879 -0 -0 -0 0 0 0 0 0 0 0 0 0
210000 6.74295082034607e-09 1.526803622965e-06 22.7413470190337 23.0781045842526 -0.000217292685102037 -0.000217292682356517 -0.000217800053939507 0.0112972926825086 0.0112972926685703 0.0112978000400887 -0 -0 -0 0 0 0 0 0 0 0 0 0
220000 6.74295082034607e-09 1.52637541548179e-06 22.7346885186856 23.072187796059 -0.000216585262842173 -0.000216585260096653 -0.000217600053939493 0.0112965852602487 0.0112965852463104 0.0112976000400895 -0 -0 -0 0 0 0 0 0 0 0 0 0
230000 6.74295082034607e-09 1.52594728016345e-06 22.72803114048 23.0662717349302 -0.000215877840582308 -0.000215877837836788 -0.000217400053939479 0.0112958778379888 0.0112958778240505 0.0112974000400903 -0 -0 -0 0 0 0 0 0 0 0 0 0
240000 6.74295082034607e-09 1.52551921700516e-06 22.7213748843419 23.0603564008662 -0.000215170418322443 -0.000215170415576923 -0.000217200053939465 0.011295170415729 0.0112951704017907 0.0112972000400911 -0 -0 -0 0 0 0 0 0 0 0 0 0
250000 6.74295082034607e-09 1.52509122600213e-06 22.7147197501968 23.054441793867 -0.000214462996062578 -0.000214462993317058 -0.000217000053939451 0.0112944629934691 0.0112944629795308 0.0112970000400919 -0 -0 -0 0 0 0 0 0 0 0 0 0
260000 6.74295082034607e-09 1.52466330714955e-06 22.7080657379701 23.0485279139326 -0.000213755573802714 -0.000213755571057194 -0.000216800053939437 0.0112937555712092 0.0112937555572709 0.0112968000400927 -0 -0 -0 0 0 0 0 0 0 0 0 0
270000 6.74295082034607e-09 1.52423546044261e-06 22.7014128475868 23.0426147610629 -0.000213048151542849 -0.000213048148797329 -0.000216600053939423 0.0112930481489493 0.011293048135011 0.0112966000400935 -0 -0 -0 0 0 0 0 0 0 0 0 0
280000 6.74295082034607e-09 1.52380768587652e-06 22.6947610789724 23.036702335258 -0.000212340729282984 -0.000212340726537464 -0.000216400053939409 0.0112923407266895 0.0112923407127512 0.0112964000400943 -0 -0 -0 0 0 0 0 0 0 0 0 0
290000 6.74295082034607e-09 1.52337998344647e-06 22.6881104320523 23.030790636518 -0.000211633307023119 -0.000211633304277599 -0.000216200053939395 0.0112916333044296 0.0112916332904913 0.0112962000400951 -0 -0 -0 0 0 0 0 0 0 0 0 0
300000 6.75959623419881e-09 1.5229523540725e-06 22.6814609211327 23.0248796648427 -0.000210925884763255 -0.000210925882017735 -0.000216000053939381 0.0112909258821697 0.0112909258682314 0.0112960000470869 -0 -0 -0 0 0 0 0 0 0 0 0 0
