N aFmax aFtol aTmax aTtol aEkmax aEktol
200000 0 -0 0 -0 1.66537864882525e-09 -0
210000 0 -0 0 -0 1.66537864882525e-09 -0
220000 0 -0 0 -0 1.66537864882525e-09 -0
230000 0 -0 0 -0 1.66537864882525e-09 -0
240000 0 -0 0 -0 1.66537864882525e-09 -0
250000 0 -0 0 -0 1.66537864882525e-09 -0
260000 0 -0 0 -0 1.66537864882525e-09 -0
270000 0 -0 0 -0 1.66537864882525e-09 -0
280000 0 -0 0 -0 1.66537864882525e-09 -0
290000 0 -0 0 -0 1.66537864882525e-09 -0
300000 0 -0 0 -0 1.66537864882525e-09 -0
