N ke bvol eBvol xl yl zl xh yh zh sxxLeft sxxRight syyBack syyFront szzBot szzTop pBvol
0 0 1.544804416e-06 23.0212540533332 -0.00024 -0.00024 -0.00024 0.01132 0.01132 0.01132 0 0 0 0 0 0 -0
10000 0 1.54320136761926e-06 22.9963271227686 -0.000238000000000131 -0.000238000000000131 -0.000238000000000131 0.011318000000008 0.011318000000008 0.011318000000008 0 0 0 0 0 0 -0
20000 0 1.54159942861451e-06 22.9714174426742 -0.000236000000000262 -0.000236000000000262 -0.000236000000000262 0.011316000000016 0.011316000000016 0.011316000000016 0 0 0 0 0 0 -0
30000 1.66537864882525e-09 1.53999859860176e-06 22.946525007079 -0.000234000000000393 -0.000234000000000393 -0.000234000000000393 0.011314000000024 0.011314000000024 0.011314000000024 0 0 0 0 0 0 -0
40000 1.66537864882525e-09 1.538398877197e-06 22.9216498100117 -0.000232000000000525 -0.000232000000000525 -0.000232000000000525 0.011312000000032 0.011312000000032 0.011312000000032 0 0 0 0 0 0 -0
50000 1.66537864882525e-09 1.53680026401624e-06 22.8967918455016 -0.000230000000000656 -0.000230000000000656 -0.000230000000000656 0.01131000000004 0.01131000000004 0.01131000000004 0 0 0 0 0 0 -0
60000 1.66537864882525e-09 1.53520275867544e-06 22.8719511075768 -0.000228000000000787 -0.000228000000000787 -0.000228000000000787 0.0113080000000479 0.0113080000000479 0.0113080000000479 0 0 0 0 0 0 -0
70000 3.33069380935356e-09 1.53360636079067e-06 22.8471275902674 -0.000226000000000918 -0.000226000000000918 -0.000226000000000918 0.0113060000000559 0.0113060000000559 0.0113060000000559 0 0 0 0 0 0 -0
80000 3.33069380935356e-09 1.53201106997789e-06 22.8223212876016 -0.000224000000001049 -0.000224000000001049 -0.000224000000001049 0.0113040000000639 0.0113040000000639 0.0113040000000639 0 0 0 0 0 0 -0
90000 6.66138856570614e-09 1.53041688585312e-06 22.7975321936087 -0.00022200000000118 -0.00022200000000118 -0.00022200000000118 0.0113020000000719 0.0113020000000719 0.0113020000000719 0 0 0 0 0 0 -0
100000 6.66198701442267e-09 1.52882380803233e-06 22.7727603023171 -0.000220000000001311 -0.000220000000001311 -0.000220000000001311 0.0113000000000799 0.0113000000000799 0.0113000000000799 -24.4444459780614 0 0 0 0 0 -0
