N ke bvol eBvol eProb xl yl zl xh yh zh sxxProb syyProb szzProb sxyProb sxzProb syzProb sxzTopWall syzTopWall szzTopWall sxyBotWall sxzBotWall syzBotWall
200000 0 2.96418719551573e-06 39.4197424251988 39.4189248502102 -0.00192586014635061 -0.00192586014635061 -0.000278000020001172 0.0136258601464319 0.0136258601464319 0.0119780000200879 -0 -0 -0 0 0 0 0 0 0 0 0 0
210000 0 1.84049685544709e-06 24.0970684119079 24.0973797936577 -0.000277315651992404 -0.000277315651992404 -0.000277800040001429 0.0119773156520791 0.0119773156520791 0.0119778000400887 -0 -0 -0 0 0 0 0 0 0 0 0 0
220000 0 1.84002564525042e-06 24.0906429760224 24.0917732268744 -0.000276631215539991 -0.000276631215539991 -0.000277600040001686 0.0119766312156267 0.0119766312156267 0.0119776000400895 -0 -0 -0 0 0 0 0 0 0 0 0 0
230000 0 1.83955450781872e-06 24.0842185323621 24.0861672863938 -0.000275946779087578 -0.000275946779087578 -0.000277400040001943 0.0119759467791743 0.0119759467791743 0.0119774000400903 -0 -0 -0 0 0 0 0 0 0 0 0 0
240000 0 1.83908344314747e-06 24.0777950808654 24.0805619722155 -0.000275262342635165 -0.000275262342635165 -0.0002772000400022 0.0119752623427219 0.0119752623427219 0.0119772000400911 -0 -0 -0 0 0 0 0 0 0 0 0 0
250000 0 1.8386124512322e-06 24.0713726214713 24.0749572843396 -0.000274577906182752 -0.000274577906182752 -0.000277000040002457 0.0119745779062695 0.0119745779062695 0.0119770000400919 -0 -0 -0 0 0 0 0 0 0 0 0 0
260000 0 1.83814153206839e-06 24.0649511541183 24.0693532227663 -0.000273893469730339 -0.000273893469730339 -0.000276800040002714 0.0119738934698171 0.0119738934698171 0.0119768000400927 -0 -0 -0 0 0 0 0 0 0 0 0 0
270000 0 1.83767068565156e-06 24.0585306787452 24.0637497874955 -0.000273209033277926 -0.000273209033277926 -0.000276600040002971 0.0119732090333647 0.0119732090333647 0.0119766000400935 -0 -0 -0 0 0 0 0 0 0 0 0 0
280000 0 1.8371999119772e-06 24.0521111952905 24.0581469785272 -0.000272524596825513 -0.000272524596825513 -0.000276400040003228 0.0119725245969123 0.0119725245969123 0.0119764000400943 -0 -0 -0 0 0 0 0 0 0 0 0 0
290000 0 1.83672921104083e-06 24.0456927036931 24.0525447958614 -0.0002718401603731 -0.0002718401603731 -0.000276200040003485 0.0119718401604599 0.0119718401604599 0.0119762000400951 -0 -0 -0 0 0 0 0 0 0 0 0 0
300000 0 1.83625858283793e-06 24.0392752038915 24.046943239498 -0.000271155723920687 -0.000271155723920687 -0.000276000040003743 0.0119711557240074 0.0119711557240074 0.0119760000400959 -0 -0 -0 0 0 0 0 0 0 0 0 0
