N ke bvol eBvol xl yl zl xh yh zh sxxLeft sxxRight syyBack syyFront szzBot szzTop pBvol
100000 6.66198701442267e-09 1.52882380803233e-06 22.7727603023171 -0.000220000000001311 -0.000220000000001311 -0.000220000000001311 0.0113000000000799 0.0113000000000799 0.0113000000000799 0 0 0 0 0 0 -0
110000 6.69321137878914e-09 1.52866457921162e-06 22.770284341014 -0.000219800036619802 -0.000219800020001297 -0.000219800020001297 0.0112998000200807 0.0112998000200807 0.0112998000200807 0 0 0 0 0 0 -0
120000 6.69321137878914e-09 1.52850534331902e-06 22.7678082697451 -0.000219600036619788 -0.000219600020001283 -0.000219600020001283 0.0112996000200815 0.0112996000200815 0.0112996000200815 0 0 0 0 0 0 -0
130000 6.72648469676066e-09 1.52834612218361e-06 22.7653324279461 -0.000219400036619774 -0.000219400020001269 -0.000219400033939619 0.0112994000340206 0.0112994000200823 0.0112994000200823 0 0 0 0 0 0 -0
140000 6.72648469676066e-09 1.52818690840723e-06 22.7628567005779 -0.00021920003661976 -0.000219200020001255 -0.000219200033939605 0.0112992000340214 0.0112992000200831 0.0112992000200831 0 0 0 0 0 0 -0
150000 6.72648469676066e-09 1.52802770568852e-06 22.7603811451532 -0.000219000036619746 -0.000219000020001241 -0.000219000033939591 0.0112990000340222 0.0112990000200839 0.0112990000200839 0 0 0 0 0 0 -0
160000 6.72648469676066e-09 1.52786851402709e-06 22.757905761666 -0.000218800036619732 -0.000218800020001227 -0.000218800033939577 0.011298800034023 0.0112988000200847 0.0112988000200847 0 0 0 0 0 0 -0
170000 6.72648469676066e-09 1.52770933342256e-06 22.7554305501103 -0.000218600036619718 -0.000218600020001213 -0.000218600033939563 0.0112986000340238 0.0112986000200855 0.0112986000200855 0 0 0 0 0 0 -0
180000 6.72648469676066e-09 1.52755016387454e-06 22.75295551048 -0.000218400036619704 -0.000218400020001199 -0.000218400033939549 0.0112984000340246 0.0112984000200863 0.0112984000200863 0 0 0 0 0 0 -0
190000 6.72648469676066e-09 1.52739100538265e-06 22.7504806427694 -0.00021820003661969 -0.000218200020001185 -0.000218200033939535 0.0112982000340254 0.0112982000200871 0.0112982000200871 0 0 0 0 0 0 -0
200000 6.74295082034607e-09 1.52723185978631e-06 22.7480059755807 -0.000218000036619676 -0.000218000033874156 -0.000218000033939521 0.0112980000340262 0.0112980000200879 0.0112980000200879 0 0 -1.00189504020788 0 0 0 -0
